Name Of Hotel,Rating,Location,Price AMD,Breakfast,Room,Outdoors,Ski,Activities,Food & Drink,Internet,Parking,Languages spoken,Wellness,Outdoor swimming pool,Spa
Good Hotel Yerevan,8.6,Yerevan,"28,500",Included,Comfort Triple Room,Sun terrace | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge),Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Fitness/spa locker rooms | Sun umbrellas | Sun loungers or beach chairs,Doesn't have,Doesn't have
Light guest House in Gyumri,7.9,Gyumri,"6,000",Not Included,Twin Room with Shower,Outdoor furniture | Outdoor furniture | Terrace | Garden,Doesn't have,Entertainment staff,Coffee house on site | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room,WiFi is available in all areas and is free of charge.,,English | Hindi | Russian,Doesn't have,Doesn't have,Doesn't have
Apple Tree Family Home (ECO),9.9,Dzorakap,"20,000",Included,Double Room with Park View,Doesn't have,Doesn't have,Live sport events (broadcast) | Live music/performance | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Tennis equipment | Water sport facilities on site (Additional charge) | Nightclub/DJ (Additional charge) | Hiking (Off-site) | Karaoke (Additional charge) | Games room,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in public areas and is free of charge.,Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Doctor's House,9.1,Gyumri,"11,900",Not Included,Deluxe Room,Outdoor fireplace | Picnic area | Outdoor furniture | BBQ facilities | Terrace | Garden,Doesn't have,Live music/performance | Evening entertainment | Entertainment staff | Games room,Fruits | Wine/champagne | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Street parking,English | Italian | Russian,Doesn't have,Doesn't have,Doesn't have
Moscow Boutique Hotel,8.9,Yerevan,"36,000",Not Included,Deluxe Room,Outdoor furniture | Terrace | Garden,Doesn't have,"Themed dinner nights (Off-site, Additional charge) | Walking tours (Additional charge) | Tennis equipment | Evening entertainment | Table tennis | Children's playground | Games room",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Steam room | Sun loungers or beach chairs | Sauna (Additional charge),Doesn't have,Doesn't have
Popock Baghramyan,9.3,Yerevan,"20,700",Not Included,Standard Triple Room,Garden,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Breakfast in the room | Bar,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Koghbatsi Aparthotel,9.3,Yerevan,"32,500",Not Included,Deluxe Double Room,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
L'image Art Hotel,8.9,Yerevan,"31,250",Not Included,Standard Double Room,Outdoor furniture | Terrace,Doesn't have,Doesn't have,Minibar,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Apart Hotel Sayat-Nova,9,Vanadzor,"12,000",Not Included,Double or Twin Room,Picnic area | Outdoor furniture | BBQ facilities | Terrace | Garden,Ski storage,"Live music/performance (Off-site) | Fitness/spa locker rooms | Fitness | Steam room | Badminton equipment | Horse riding (Off-site, Additional charge) | Hammam | Cycling | Hiking (Off-site, Additional charge) | Windsurfing (Off-site, Additional charge) | Billiards | Children's playground | Games room | Skiing | Fishing (Off-site, Additional charge) | Fitness centre | Sauna",Wine/champagne (Additional charge) | Kid-friendly buffet | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel Alpha,9.2,Yerevan,"31,995",Included,Small Double or Twin Room,BBQ facilities,Doesn't have,Live sport events (broadcast) | Themed dinner nights (Additional charge) | Movie nights,Coffee house on site | Fruits (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
4Room Hotel,9.2,Yerevan,"28,000",Not Included,Double Room,Terrace,Doesn't have,Evening entertainment (Additional charge) | Cycling (Off-site) | Hiking (Off-site) | Karaoke (Additional charge) | Skiing (Off-site),Coffee house on site | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Dil Hill by Sam,9.1,Dilijan,"13,950",Not Included,Economy Quadruple Room,Outdoor furniture | Terrace | Garden,Doesn't have,Live music/performance | Themed dinner nights (Additional charge) | Bike tours | Walking tours,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,German | English | Russian,Doesn't have,Doesn't have,Doesn't have
Ardvin Guesthouse,6.5,Yerevan,"10,530",Not Included,Standard Double Room,Terrace,Doesn't have,Doesn't have,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Bass Boutique Hotel,8.2,Yerevan,"26,000",Included,Single Room,Picnic area | BBQ facilities | Terrace | Garden,Ski-to-door access | Ski equipment hire on site | Ski school (Additional charge) | Ski storage,Badminton equipment | Tennis equipment | Horse riding (Additional charge) | Hiking (Additional charge) | Table tennis | Billiards | Children's playground | Skiing | Tennis court,Fruits | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in public areas and is free of charge.,Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Ani Plaza Hotel,8.7,Yerevan,"41,000",Included,Single Room,Garden,Doesn't have,Doesn't have,Coffee house on site | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
DoubleTree by Hilton Yerevan City Centre,9,Yerevan,"57,900",Not Included,King Guest Room,Terrace | Garden,Doesn't have,Doesn't have,Special diet menus (on request) | Breakfast in the room,WiFi is available in all areas and is free of charge.,Parking garage,English | Russian,Doesn't have,Doesn't have,Doesn't have
Radisson BLU Hotel Yerevan,8.4,Yerevan,"64,000",Not Included,Standard  Room,Outdoor fireplace | Outdoor furniture | Outdoor furniture,Doesn't have,Doesn't have,Coffee house on site | Wine/champagne (Additional charge) | Kid-friendly buffet | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Vertoni Hotel Yerevan,9.8,Yerevan,"26,000",Included,Large Double Room,Garden,Doesn't have,Children's playground | Games room,Coffee house on site | Kid-friendly buffet | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Yerevan Boutique Hotel,9.4,Yerevan,"31,500",Included,Standard Double Room,Outdoor furniture | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge),Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Green Garden Guesthouse,9.2,Dilijan,"10,000",Not Included,Quadruple Room,Doesn't have,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Spanish | Armenian | Italian | Russian,Hammam | Sauna,Doesn't have,Doesn't have
Baron Boutique Hotel Yerevan,8.6,Yerevan,"36,600",Included,Deluxe Double Room,Terrace | Garden,Doesn't have,Doesn't have,Special diet menus (on request) | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Domino Hostel & Tours,8.7,Yerevan,"40,000",Not Included,Two-Bedroom Apartment,Outdoor dining area | Garden,Doesn't have,"Movie nights (Off-site, Additional charge) | Pub crawls (Additional charge) | Badminton equipment | Nightclub/DJ (Additional charge) | Hiking | Karaoke (Additional charge)",Fruits (Additional charge) | Wine/champagne (Additional charge) | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Hotel ORBELI,9.4,Yerevan,"30,600",Included,Standard King Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | BBQ facilities (Additional charge) | Balcony | Garden,Doesn't have,"Cooking class (Off-site, Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Bowling (Off-site, Additional charge) | Cycling (Off-site)",Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Fitness/spa locker rooms | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Couples massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Light therapy | Body wrap | Body scrub | Body treatments | Hair styling | Hair colouring | Hair cut | Pedicure | Manicure | Hair treatments | Make up services | Waxing services | Facial treatments | Beauty Services | Massage (Additional charge),Doesn't have,Doesn't have
Opera Suite Hotel,8.7,Yerevan,"55,000",Not Included,Executive Suite,Picnic area | Outdoor furniture | Sun terrace | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Bike tours | Walking tours | Pub crawls (Additional charge) | Fitness/spa locker rooms | Cycling (Off-site) | Hiking | Children's playground | Games room | Fishing (Off-site),Kid-friendly buffet | Kid meals (Additional charge),WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Unique Hotel Yerevan,8.8,Yerevan,"42,000",Not Included,Standard Double or Twin Room,Sun terrace | Terrace | Garden,Doesn't have,Water park | Kids' club | Water sport facilities on site (Additional charge) | Children's playground | Games room,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Secured parking,Arabic | German | English | Farsi | Armenian | Russian | Ukrainian,Fitness/spa locker rooms | Fitness classes | Yoga classes | Fitness | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Spa/wellness packages | Foot bath | Spa lounge/relaxation area | Steam room | Spa facilities | Body wrap | Body scrub | Body treatments | Pedicure | Manicure | Waxing services | Facial treatments | Beauty Services | Sun umbrellas | Sun loungers or beach chairs | Water slide | Open-air bath | Hammam | Hot tub/Jacuzzi | Massage (Additional charge) | Spa and wellness centre (Additional charge) | Fitness centre | Sauna,Doesn't have,Doesn't have
Olympic Hotel,8,Gyumri,"18,000",Included,Double Room,Picnic area | Outdoor furniture | Beachfront | Sun terrace | Private beach area | BBQ facilities (Additional charge) | Terrace | Garden,Doesn't have,Live music/performance (Additional charge) | Walking tours | Temporary art galleries | Beach | Kids' club | Water sport facilities on site (Additional charge) | Diving | Hiking | Darts | Children's playground | Fishing (Additional charge) | Golf course (within 3 km) (Additional charge),Fruits | Wine/champagne (Additional charge) | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Street parking,English | Farsi | Russian,Doesn't have,Doesn't have,Doesn't have
Hover Boutique Hotel,8.9,Dilijan,"37,000",Included,Deluxe Twin Room,Sun terrace | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge),Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Street parking | Secured parking,English | Russian,Fitness/spa locker rooms | Sun umbrellas | Sun loungers or beach chairs,Doesn't have,Doesn't have
Kirovi Tun,8.6,Dilijan,"33,000",Included,Double Room,Doesn't have,Doesn't have,Live sport events (broadcast) | Live music/performance | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Tennis equipment | Water sport facilities on site (Additional charge) | Nightclub/DJ (Additional charge) | Hiking (Off-site) | Karaoke (Additional charge) | Games room,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in public areas and is free of charge.,Street parking | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
ALEM Hotel,9.6,Yerevan,"27,930",Not Included,Double Room with Private Bathroom,Outdoor fireplace | Picnic area | Outdoor furniture | BBQ facilities | Terrace | Garden,Doesn't have,Live music/performance | Evening entertainment | Entertainment staff | Games room,Fruits | Wine/champagne | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Street parking,English | Italian | Russian,Doesn't have,Doesn't have,Doesn't have
Yard guesthouse,9.3,Yerevan,"23,000",Not Included,Twin Room,Outdoor furniture | Terrace | Garden,Doesn't have,"Themed dinner nights (Off-site, Additional charge) | Walking tours (Additional charge) | Tennis equipment | Evening entertainment | Table tennis | Children's playground | Games room",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Bar | Restaurant | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Steam room | Sun loungers or beach chairs | Sauna (Additional charge),Doesn't have,Doesn't have
My Hotel Yerevan,9.2,Yerevan,"26,900",Included,Standard Double or Twin Room,Garden,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Breakfast in the room | Bar,WiFi is available in all areas and is free of charge.,Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Teghenis Holiday Home,8.9,Tsaghkadzor,"37,000",Included,Budget Double Room,Doesn't have,Doesn't have,Doesn't have,Doesn't have,No internet access available.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
2x2 Cinema-Bar Hotel & Tours,9.3,Yerevan,"24,650",Not Included,Family Suite,Outdoor furniture | Terrace,Doesn't have,Doesn't have,Minibar,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Anga Yerevan Hotel,9.3,Yerevan,"32,500",Included,Budget Single Room,Picnic area | Outdoor furniture | BBQ facilities | Terrace | Garden,Ski storage,"Live music/performance (Off-site) | Fitness/spa locker rooms | Fitness | Steam room | Badminton equipment | Horse riding (Off-site, Additional charge) | Hammam | Cycling | Hiking (Off-site, Additional charge) | Windsurfing (Off-site, Additional charge) | Billiards | Children's playground | Games room | Skiing | Fishing (Off-site, Additional charge) | Fitness centre | Sauna",Wine/champagne (Additional charge) | Kid-friendly buffet | Restaurant,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Republica Hotel Yerevan,9.2,Yerevan,"64,000",Not Included,Single Room,BBQ facilities,Doesn't have,Live sport events (broadcast) | Themed dinner nights (Additional charge) | Movie nights,Coffee house on site | Fruits (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Tea/Coffee maker,WiFi is available in public areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Royal Plaza,9,Yerevan,"42,000",Included,Double Room,Terrace,Doesn't have,Evening entertainment (Additional charge) | Cycling (Off-site) | Hiking (Off-site) | Karaoke (Additional charge) | Skiing (Off-site),Coffee house on site | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Russian,Doesn't have,Doesn't have,Doesn't have
Дом Писателей Цахкадзора,8.8,Tsaghkadzor,"16,000",Not Included,Deluxe Single Room,Outdoor furniture | Terrace | Garden,Doesn't have,Live music/performance | Themed dinner nights (Additional charge) | Bike tours | Walking tours,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Street parking,German | English | Russian,Doesn't have,Doesn't have,Doesn't have
Nane Hotel,9.1,Gyumri,"27,000",Included,Standard Double Room,Terrace,Doesn't have,Doesn't have,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Accessible parking | Street parking,English | French | Russian,Doesn't have,Doesn't have,Doesn't have
Royal Boutique Hotel on Kievyan,7.4,Yerevan,"18,879",Not Included,Standard Twin Room,Picnic area | BBQ facilities | Terrace | Garden,Ski-to-door access | Ski equipment hire on site | Ski school (Additional charge) | Ski storage,Badminton equipment | Tennis equipment | Horse riding (Additional charge) | Hiking (Additional charge) | Table tennis | Billiards | Children's playground | Skiing | Tennis court,Fruits | Wine/champagne (Additional charge) | Kid meals (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in public areas and is free of charge.,Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Downtown Suites Yerevan,9.5,Yerevan,"38,700",Not Included,Standard Double Room,Terrace | Garden,Doesn't have,Doesn't have,Special diet menus (on request) | Breakfast in the room,WiFi is available in all areas and is free of charge.,Parking garage,English | Russian,Doesn't have,Doesn't have,Doesn't have
Daniel Boutique Hotel,9,Yerevan,"27,000",Not Included,Standard Double or Twin Room,Outdoor fireplace | Outdoor furniture | Outdoor furniture,Doesn't have,Doesn't have,Coffee house on site | Wine/champagne (Additional charge) | Kid-friendly buffet | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,Parking garage | Secured parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Spa Hotel Grace Forum,9.4,Yerevan,"34,500",Included,Deluxe Double or Twin Room,Garden,Doesn't have,Children's playground | Games room,Coffee house on site | Kid-friendly buffet | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Street51,9.4,Yerevan,"5,500",Not Included,Bed in 8-Bed Mixed Dormitory Room,Outdoor furniture | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge),Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Maison Hotel Yerevan,9.2,Yerevan,"31,500",Included,Deluxe Double or Twin Room with Balcony,Doesn't have,Doesn't have,Doesn't have,Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Spanish | Armenian | Italian | Russian,Hammam | Sauna,Doesn't have,Doesn't have
Guest House Raisa,8.4,Dilijan,"11,000",Not Included,Single Bed in Mixed Dormitory Room,Terrace | Garden,Doesn't have,Doesn't have,Special diet menus (on request) | Bar | Restaurant | Minibar,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Doesn't have,Doesn't have,Doesn't have
Aquatek Resort & Spa Hotel,8.6,Yerevan,"42,500",Included,Standard Double Room,Outdoor dining area | Garden,Doesn't have,"Movie nights (Off-site, Additional charge) | Pub crawls (Additional charge) | Badminton equipment | Nightclub/DJ (Additional charge) | Hiking | Karaoke (Additional charge)",Fruits (Additional charge) | Wine/champagne (Additional charge) | Tea/Coffee maker,WiFi is available in all areas and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Rooftop Apart-Hotel,8.8,Yerevan,"42,000",Not Included,Standard Double Room,Outdoor fireplace | Picnic area | Outdoor furniture | Outdoor dining area | Outdoor furniture | Sun terrace | BBQ facilities (Additional charge) | Balcony | Garden,Doesn't have,"Cooking class (Off-site, Additional charge) | Tour or class about local culture (Additional charge) | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Bowling (Off-site, Additional charge) | Cycling (Off-site)",Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Breakfast in the room | Bar,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Fitness/spa locker rooms | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Couples massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Light therapy | Body wrap | Body scrub | Body treatments | Hair styling | Hair colouring | Hair cut | Pedicure | Manicure | Hair treatments | Make up services | Waxing services | Facial treatments | Beauty Services | Massage (Additional charge),Doesn't have,Doesn't have
Latar Hotel Yerevan,7.3,Yerevan,"39,500",Included,King Room,Picnic area | Outdoor furniture | Sun terrace | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Bike tours | Walking tours | Pub crawls (Additional charge) | Fitness/spa locker rooms | Cycling (Off-site) | Hiking | Children's playground | Games room | Fishing (Off-site),Kid-friendly buffet | Kid meals (Additional charge),WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Central Hotel,9.2,Yerevan,"61,000",Included,Standard Double or Twin Room,Outdoor fireplace | Outdoor furniture | Sun terrace | Terrace | Garden,Doesn't have,"Live sport events (broadcast) (Off-site) | Cooking class (Additional charge) | Tour or class about local culture | Happy hour | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Temporary art galleries (Off-site) | Hand massage (Additional charge) | Head massage (Additional charge) | Spa facilities | Hair styling | Beauty Services | Badminton equipment | Cycling (Off-site) | Hiking | Darts | Massage (Additional charge) | Fishing (Off-site, Additional charge)",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Villa Ayghedzor,8.6,Yerevan,"32,000",Included,Double or Twin Room,Outdoor dining area | Terrace | Garden,Doesn't have,Doesn't have,Minibar,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Electric vehicle charging station,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Teghenis Holiday Home,8.9,Tsaghkadzor,"37,000",Included,Budget Double Room,Picnic area | Outdoor furniture | Sun terrace | Terrace | Garden,Doesn't have,Tour or class about local culture (Additional charge) | Bike tours | Walking tours | Pub crawls (Additional charge) | Fitness/spa locker rooms | Cycling (Off-site) | Hiking | Children's playground | Games room | Fishing (Off-site),Kid-friendly buffet | Kid meals (Additional charge),WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
2x2 Cinema-Bar Hotel & Tours,9.3,Yerevan,"24,650",Not Included,Family Suite,Sun terrace | Terrace | Garden,Doesn't have,Water park | Kids' club | Water sport facilities on site (Additional charge) | Children's playground | Games room,Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Special diet menus (on request) | Snack bar | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Secured parking,Arabic | German | English | Farsi | Armenian | Russian | Ukrainian,Fitness/spa locker rooms | Fitness classes | Yoga classes | Fitness | Full body massage (Additional charge) | Hand massage (Additional charge) | Head massage (Additional charge) | Foot massage (Additional charge) | Neck massage (Additional charge) | Back massage (Additional charge) | Spa/wellness packages | Foot bath | Spa lounge/relaxation area | Steam room | Spa facilities | Body wrap | Body scrub | Body treatments | Pedicure | Manicure | Waxing services | Facial treatments | Beauty Services | Sun umbrellas | Sun loungers or beach chairs | Water slide | Open-air bath | Hammam | Hot tub/Jacuzzi | Massage (Additional charge) | Spa and wellness centre (Additional charge) | Fitness centre | Sauna,Doesn't have,Doesn't have
Anga Yerevan Hotel,9.3,Yerevan,"32,500",Included,Budget Single Room,Outdoor fireplace | Outdoor furniture | Sun terrace | Terrace | Garden,Doesn't have,"Live sport events (broadcast) (Off-site) | Cooking class (Additional charge) | Tour or class about local culture | Happy hour | Themed dinner nights (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Temporary art galleries (Off-site) | Hand massage (Additional charge) | Head massage (Additional charge) | Spa facilities | Hair styling | Beauty Services | Badminton equipment | Cycling (Off-site) | Hiking | Darts | Massage (Additional charge) | Fishing (Off-site, Additional charge)",Coffee house on site | Fruits (Additional charge) | Wine/champagne (Additional charge) | Kid-friendly buffet | Kid meals | Special diet menus (on request) | Breakfast in the room | Bar | Restaurant,WiFi is available in all areas and is free of charge.,Accessible parking | Parking garage | Secured parking,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Republica Hotel Yerevan,9.2,Yerevan,"64,000",Not Included,Single Room,Outdoor dining area | Terrace | Garden,Doesn't have,Doesn't have,Minibar,WiFi is available in the hotel rooms and is free of charge.,Accessible parking | Electric vehicle charging station,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
Royal Plaza,9,Yerevan,"42,000",Included,Double Room,Outdoor furniture | Terrace,Doesn't have,Live sport events (broadcast) | Live music/performance (Additional charge) | Tour or class about local culture (Additional charge),Coffee house on site | Fruits (Additional charge) | Kid-friendly buffet | Special diet menus (on request) | Minibar,WiFi is available in all areas and is free of charge.,Street parking,English | Russian,Spa/wellness packages | Spa lounge/relaxation area | Steam room | Spa facilities | Hot spring bath | Hot tub/Jacuzzi | Massage (Additional charge) | Spa and wellness centre (Additional charge),Doesn't have,Doesn't have
Writers' House Tsaghkadzor,8.8,Tsaghkadzor,"16,000",Not Included,Deluxe Single Room,Balcony | Terrace | Garden,Doesn't have,Doesn't have,Bar,WiFi is available in all areas and is free of charge.,Street parking,English | Spanish | Italian | Russian,Doesn't have,Doesn't have,Doesn't have
Nane Hotel,9.1,Gyumri,"27,000",Included,Standard Double Room,Outdoor dining area | Terrace | Garden,Doesn't have,Cooking class (Additional charge) | Tour or class about local culture (Additional charge) | Bike tours (Additional charge) | Walking tours (Additional charge) | Horse riding (Additional charge) | Cycling | Hiking (Additional charge) | Fishing (Additional charge),Bar | Restaurant,WiFi is available in the hotel rooms and is free of charge.,,English | Armenian | Russian,Doesn't have,Doesn't have,Doesn't have
